number,english,irish
181,ayrfield avenue,ascaill bhán an aeir
182,ayrfield court,cúirt bhán an aeir
183,ayrfield drive,céide bhán an aeir
184,ayrfield grove,garrán bhán an aeir
185,ayrfield park,páirc bhán an aeir
186,ayrfield place,plás bhán an aeir
187,ayrfield road,bóthar bhán an aeir
188,bachelors walk,siúlán bhaitsiléir
189,back lane,an lána cúil
190,baggot court,cúirt bhagóid
191,baggot lane,lána bhagóid
192,baggot rath place,plás ráth bhagóid
193,baggot road,bóthar bhagóid
194,baggot street lower,sráid bhagóid
195,baggot street upper,sráid bhagóid
195,baggot street,sráid bhagóid
196,bailey’s row,rae bailey
197,balbutcher drive,céide bhaile bhúiséir
198,balbutcher lane,lána bhaile bhúiséir
199,balbutcher way,bealach bhaile bhúiséir
200,balcurris gardens,gairdíní bhaile cora
201,balcurris road,bóthar bhaile cora
202,balfe avenue,ascaill an bhailfigh
203,balfe road,bóthar an bhailfigh
204,balfe road,east bóthar an bhailfigh thoir
205,balfe street,sráid an bhailfigh
206,ball’s lane,lána bhál
207,ballsbridge avenue,ascaill dhroichead
208,ballsbridge terrace,ardán dhroichead
209,ballyboggan road,bóthar bhaile uí bhogáin
210,ballybough avenue,ascaill an bhaile bhoicht
211,ballybough road,bóthar an bhaile bhoicht
212,ballyfermot avenue,ascaill bhaile formaid
213,ballyfermot crescent,corrán bhaile formaid
214,ballyfermot drive,céide bhaile formaid
215,ballyfermot parade,paráid bhaile formaid
216,ballyfermot road,bóthar bhaile formaid
217,ballyfermot road upper,bóthar bhaile formaid
218,ballygall avenue,ascaill bhaile gall
219,ballygall crescent,corrán bhaile gall
220,ballygall parade,paráid bhaile gall
221,ballygall place,plás bhaile gall
222,ballygall road,east bóthar bhaile gall thoir
223,ballygall road,west bóthar bhaile gall thiar
224,ballyhoy avenue,ascaill bhaile uí eochaidh
225,ballymount drive,céide bhaile an mhóta
226,ballymount road lower,bóthar bhaile an mhóta
227,ballymun industrial estate,eastát tionscail bhaile
228,ballymun road,bóthar bhaile munna
229,ballyneety road,bóthar bhaile an fhaoitigh
230,ballyshannon avenue,ascaill bhéal átha seanaidh
231,ballyshannon road,bóthar bhéal átha seanaidh
232,bangor drive,céide bheannchair
233,bangor road,bóthar bheannchair
234,bann road,bóthar na banna
235,bannow road,bóthar bhanú
236,bantry road,bóthar bheanntraí
237,bargy road,bóthar uí bhairche
238,barnamore crescent,corrán bhearna mhór
239,barnamore grove,garrán bhearna mhór
240,barnamore park,páirc bhearna mhór
241,barrack lane,lána na beairice
242,barron place,plás bharúin
243,barrow road,bóthar na bearú
244,barrow street,sráid na bearú
